,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-11-02,8.4,-0.5,4.2,6.2,-5.0,1.1,-2.0,66.0,0.0,1,0.0,,0,0,20.5,21.8,281.2,1029.1,2.4,16.2,149.5,12.9,5,10,2023-11-02T07:18:31,2023-11-02T17:36:31,0.65,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,KBED,KBOS"
1,"Boston, MA, United States",2023-11-03,12.3,3.9,8.2,12.3,0.7,6.6,1.1,61.8,0.0,0,0.0,,0,0,40.7,27.7,215.1,1030.0,32.0,16.3,134.3,11.9,4,10,2023-11-03T07:19:46,2023-11-03T17:35:16,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Boston, MA, United States",2023-11-04,13.9,9.5,11.4,13.9,6.6,10.8,4.3,62.3,0.0,0,0.0,,0,0,37.8,25.2,238.6,1024.1,53.9,16.3,133.6,11.6,4,10,2023-11-04T07:21:01,2023-11-04T17:34:02,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Boston, MA, United States",2023-11-05,15.0,7.0,10.6,15.0,5.0,9.7,5.4,71.1,0.0,7,0.0,,0,0,30.6,20.2,236.9,1016.5,59.9,23.2,70.3,6.5,2,10,2023-11-05T06:22:16,2023-11-05T16:32:50,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2023-11-06,13.2,7.8,10.4,13.2,5.7,9.5,6.0,74.8,0.0,19,0.0,,0,0,33.8,22.7,222.5,1012.3,61.7,24.1,81.0,7.2,3,10,2023-11-06T06:23:32,2023-11-06T16:31:39,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2023-11-07,15.2,10.2,12.4,15.2,10.2,12.4,8.3,76.7,1.6,56,16.67,rain,0,0,44.3,29.2,228.5,1007.3,76.0,24.1,103.0,8.9,3,10,2023-11-07T06:24:47,2023-11-07T16:30:31,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
6,"Boston, MA, United States",2023-11-08,12.4,8.0,10.5,12.4,4.6,9.2,6.5,76.8,1.8,56,16.67,rain,0,0,34.9,22.7,285.0,1004.2,64.1,23.6,4.9,0.0,0,10,2023-11-08T06:26:02,2023-11-08T16:29:23,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
7,"Boston, MA, United States",2023-11-09,9.0,4.8,6.3,6.2,0.8,3.1,1.8,73.8,0.9,41,12.5,rain,0,0,34.6,23.4,316.6,1013.3,58.0,19.1,110.8,9.6,4,10,2023-11-09T06:27:18,2023-11-09T16:28:18,0.88,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
