,datetime,description,icon
0,2023-11-02,Clear conditions throughout the day.,clear-day
1,2023-11-03,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-11-04,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-11-05,Partly cloudy throughout the day.,partly-cloudy-day
4,2023-11-06,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-11-07,Partly cloudy throughout the day with morning rain.,rain
6,2023-11-08,Partly cloudy throughout the day with a chance of rain.,rain
7,2023-11-09,Becoming cloudy in the afternoon.,partly-cloudy-day
