,datetime,tempmin,temp,tempmax
0,2023-11-02,-0.5,4.2,8.4
1,2023-11-03,3.9,8.2,12.3
2,2023-11-04,9.5,11.4,13.9
3,2023-11-05,7.0,10.6,15.0
4,2023-11-06,7.8,10.4,13.2
5,2023-11-07,10.2,12.4,15.2
6,2023-11-08,8.0,10.5,12.4
7,2023-11-09,4.8,6.3,9.0
